id,data
223,"Es penoso que un salvaje sin alma le quite la vida a una joven con deseos de echar adelante por una atracción física, de ser así que recaiga todo el.peao de la ley al culpable que cometió ese orrendo crimen."
224,"Yo lo que quiero saber es cuando el gobierno se pondrá los pantalones para poner orden en este país, ya esto de M4t4r, viol4r se a vuelto una costumbre del diario vivir, ya da hasta miedo salir a las calles, porque cualquiera aparece y quiere ultrajarnos"
225,😢
226,😢😢😢
227,😢☹️
228,Justicia divina🙏🏻
229,Que pena y triste lo que le hicieron a esa.muchacha pero Dioa.es.gra de.y poderoso
230,Dios mío 😭
231,😭😖😭
232,😢😢😢😢
233,Que gran pena
234,😢💔😔
235,El que.ll.hizo
236,"@nuriapiera @aliciaortegah @julissacespedes porfavor necesitamos de su ayuda en este caso, ella merece justicia!!!"
237,Tolentino 🙌
238,Cómo se están perdiendo tantas mujeres brillante justicia que no quede impune como muchos casos🙌
239,💔💔💔💔💔
240,"Que pena la muerte de esta chica😢 las autoridades deben presionar a la empresa, para que entreguen las fílmicas, siempre el mismo cuento de que las cámaras dizque no funcionan. También debe ser sancionada la persona de RRHH que no le dió la importancia al reporte de acoso que según dicen, ella había hecho y que todo el peso de la ley recaiga sobre el culpable de ese horrendo hecho. Paz a su alma 🕊️"
241,😢😢😢😢😢
242,😢😢😢
243,Yo espero en dios quien o quirnes la mataron le caiga todo el peso de la ley
244,"Eclesiastés 8:11 Y es que cuando la sentencia para castigar una mala acción no se ejecuta de inmediato, el corazón de los mortales se dispone a seguir actuando mal."
245,Dioz fortáleca la familia
246,😩😭😭😭
247,😢😢😢
248,😢😢😢
249,Esa empresa le sale un demanda
250,Que lío 😢
251,Si fuera un robo a ellos mismo o un jefe de ellos si funcionará.
252,Solamente dió proteges nuestro hijo 😢😢
253,Esto HA DOLIDO. 😢😢😢😢😢😢😢😢😢
254,"Y por un antisocial sin aspiración alguna ,que lo única que deja es pérdidas ala sociedad"
255,Hay ombe 😢
256,Dios mio😢😢 no conocia a esa joven pero que tristeza me da 😢
257,😢😢
258,"Paz a sus restos, voló antes de tiempo . El señor sabe sus cosas espero y su familia tenga conformidad con tan atroz y vil asesinato 😢"
259,Dios mio pobre niña
260,Que pena🙏
261,"Ayy jesus, tanta crueldad entre nosotros mismos Dios Santo. 😢"
262,💔💔
263,Ese caso si que me ha dado duro
264,😢😢😢💔💔
265,Que triste eso
266,😢
267,😢
268,😢😢😢
269,😢😢😢😢😢😢
270,Que Dios la tenga en un buen lugar.🙏🕊🕯✝️
271,😢😢😢
272,💔
273,Dios mío q abuso padre celestial
274,En algunas.empresas ese departamento solo da curso a loa chismes
275,En paz descanse
276,😢😢😢😢😢
277,Dios mio que abuso esto es grande Padre
278,😢😢😢😢😢😢
279,💔
280,😢😢😢😢😢😢😢
281,Dios mío justicia 😭😭😭😭
282,😢😢😢😢😢😢cada vez que miro esas noticia de ella se me rompe el corazon
283,😢😢😢 eso me parte el alma
284,"Duele cuando es pobre y lo que busca es la forma de salir de la pobreza a base de sacrificio y estudio 😔 no pudo lograr su sueños , un infeliz apago esa luz duele el doble 😢"
285,😢😢😢😢😢😢😢
286,"Yo lo dije eso que seguro ella estaba cansada de denunciarlo! Y no entiendo porque nunca mencionan el nombre del susodicho, esa es una información que todos deberíamos saber porque ese lo que es un ps1copata"
287,😢
288,Cuantas tristeza un joven con tanta aspiraciones que se haga justicia y que papa Dios tenga misericordia de sus Familiares Amen 🙏🙏🙏
289,😢😢
290,K pena Dios mío esa niña mira cómo le kitan lavida dios padre ten misericordia
291,Dios padre. Que hagan justicia.
292,.
293,😢
294,😢😢😢
295,Ay Dios 💔
296,😢
297,😢
298,🔥👏
299,Dios mio justicia
300,Wow 😢🙏🏻
301,💔💔💔
302,💔💔💔
303,💔
304,💔💔💔💔💔💔😢😢😢😢😢😢😢😢Dios mío que este crimen no se quede impune
305,Justicia! 😡😡😡
306,😞😞😞😔
307,😢
308,No te preocupes princesa yo cumpliré ese sueño por ti descansa en paz🥹🕊️
309,😢😢😢😢😢
310,Eso parte el alma 🙌🙌 que se haga justicia
311,Paz a su alma
312,😢😢😢😢
313,"Que aparezca el culpable y pague con carcel y economicamente. Nadie tiene derecho a quitarle la vida a nadie. Dios mio que terrible para la familia..🙏,Dios le de Consuelo.🙏"
314,"Así es mi país, hasta que no es un hecho lamentable no toman carta en el asunto ahora quizás lo apresan 😭"
315,Espero quien o quienes hicieron eso a es joven lo agarren y también espero que casos así se pueda implementar la cadena perpetua y la pena de muerte la sociedad ha cambiado mucho la justicia debe actualizar los años de sentencia
316,Dios mioo😢😢😢😢😢
317,😢😢😢😢
318,🙏🏼
319,Dioosss que pena
320,😢😢
321,Justicia que este caso no quede impune como otros.En plena juventud y un sin madre le quita la vida...
322,Justicia 💔
323,El día que pongan la castración y la cárcel como castigo se la van a pensar dos veces antes de cometer estas locuras
324,😢😢😢
325,😢😢😢😢
326,😢😢😢
327,Dios mío 😢😢😢💔💔💔
328,😢
329,😞😔💔
330,😢 Dios mio
331,Dios mío 😢😢😢😢😢
332,💔💔💔💔💔
333,Carse lo que hicieron por dios
334,😢
335,💔
336,😢😢😭😭💔
337,💔💔
338,Solo le pido a Dios que se haga justicia
339,Justicia por Paula
340,Waoo
341,Que pena me ha dado ese caso
342,😢😢😢😢
343,Por qué tienen que suceder ese tipo de crueldad padre amado?
344,😢😢😢
345,Tiene que hacerse justicia no debe de quedar así
346,Dios mio...ten Misericordia ! Que se haga Justicia y condolencias a sus familiares😮😢🙏🕊🙏
347,Jehová y donde está el amor de la gente que matan una persona como si fueron ellos que lo crearon esto es una vaina del mismo diablo ten misericordia wao esto rompe el corazón de la familia
348,😢😢
349,😢 Dios mío QepD justicia para ella
350,Un sueño que no se hará realidad por un RPSV🙃🙃🙃🙃🙃 definitivamente en RD se necesita medida drástica
351,"Yo he notado algo extraño, y es que he visto fotos similares a la de esta chica, personas se toman fotos con alas y luego mueren😦🤔"
352,😢😢💔
353,Dios mío que pena
354,"😢😢😢muy doloroso, todos deberíamos estar frente a esa empresa pidiendo culpables"
355,"Como madre y mujer me uno al dolor de esta familia,pero a vez le pido a la justicia de mi país q este horrendo crimen no que impune 😢🙌"
356,😔🥺😔😔😔😔😔😔
357,Waos que cruel es el mundo 💔🕊️
358,Díos santo 🙏🙏🙏
359,😢😢😢
360,Dios mio 😢
361,😢😢😢😭😭😭😭😭😔😔😔😔
362,Esto parte el alma Dios mío! 💔💔
363,💔
364,JUSTICIA ⚖️
365,Dios mío 💔💔🥺😢😖🫂
366,"Vi que ya la sepultaron, ósea no le hicieron autopsia? Señores los cuerpos muertos hablan por sí solos, son tantas evidencias que pueden encontrar, desde piel debajo de las uñas, semen porque fue violada etc, que se investigue muy a fondo y pague el o los culpables, y pedirle al Eterno Dios que de consolación a los familiares 😇🙏"
367,😢
368,😢😢😢😢
369,😢 pobre niña
370,😢😢
371,Me da un pique nosotros mismos siempre pendiente a otros y kos chime y viviendo vida ajena y este caso mada😢😢😢
372,Orita dicen los jodidos jueses tres meses de coersion
373,"Pero cuando hacen encuestas, a nosotros los dominicanos, lo que nos preocupan son la crisis económica con un 26% el aumento de precios con un 18% y en último lugar la inseguridad ciudadana y todo tipo de violencia. Y eso nunca se expone ante los aspirantes a gobernar. Así nos va"
374,😢😢
375,El recurso humano debe investigarse en esa sona franca porque no tomaron las medidas de lugar en defensa de esta joven 😢😢😢
376,Que tristeza 😢
377,"La empresa que trabajan de noche y hora nocturna, tienen transporte, que paso hay"
378,Esto es una situación que parte el alma una joven con toda una vida por delante y un buen futuro en camino Dios santo cosas como estas jamás deberían suceder pobre madre no existen palabras para consolar esa señora Jesús dale fuerza y fortaleza para que pueda asimilar su pérdida irreparable y paz alma de esa joven 😢
379,😢😢😢😢😢Dios mío ten misericordia de tanta maldad egoísmo en mi país y el mundo tristemente una vida mas
380,"Que impotencia, que Dios haga su justicia."
381,Amén amén amén
382,"Oh Dios que triste esta historia!! Alguien con un corazón muy negro acabo con tus sueños Paula 😢, yo espero que se haga justicia."
383,"Ese tipo que hiso dejaría pagar con la misma moneda , tanta mujeres y degraciao cojele don esa brillante joven Dios mio"
384,Paz a su alma que pena😢😢😢😢
385,"Que pena,una joven con tantos sueños y deseos de superación,que en paz descanse su alma,y consuelo a su familia🙌"
386,"Cuánta tristeza por esa joven, que pena 😔😢"
387,😞😞😞
388,"Justicia. para Ella que Su Muerte no Sea Una,Estadistica yo JosefinaAnt"
389,Dios la tela en la gloria
390,No entiendo realmente por qué las cámaras de la empresa solo funcionan para la empresa no funciona para los empleados que le halla sucedido algún inconveniente en la empresa...pero Dios le dará su justicia divina...una excelente chica trabajadora estudiantes y disciplinada para perder su vida en esta situación Jehová ten misericordia y dale fuerza así familia
391,¿Y por qué aún no se sabe cuál era el dichoso acosador?
392,Cuanta maldad ahí en este mundo 🌎 pero olvidan que allá arriba ahí un Dios que todo lo ve y que la vida es como un restaurante donde nadie se va sin pagar 💰 vuela alto hermosa y descansa en Paz qué papá Dios hará justicia 🙏
393,"💔💔💔💔 No hay palabras para describir este dolor 😭 Justicia por favor 🙏 señor, ayuda a su familia en este lamentable suceso."
394,"Dios, la justicia de mi país no sirve😔💔"
395,"😢 Eso me parte el alma, todas somos paula, descansa en paz. BASTA YA!"
396,"Que se investigue bien ese caso señores, estamos consternados Dios tenga piedad de las gentes de mi país así no puede ser caso inadmisible. Descanse en paz."
397,Qué pena santo Dios
398,Esto no puede quedarse así no 😢 waooo
399,Este caso me causa un dolor 😭. Porque cómo ellas existen muchas jovenes con el mismo deseo de superación y tendrá mucho miedo 😢
400,💔💔😢😢paz asu alma y fortaleza para todos los familiares 😢
401,El ministerio público que realice su trabajo nada de mareo que caiga quien caiga y que realicen pesquisa los actores principales hay se incluyen los de recursos humanos seguridad supervisores y empleados y hasta los ejecutivos eso no se puede quedar así en esas zonas francas hay mucho acoso hacia las mujeres
402,"Justicia para esa joven, que trabaja para estudiar."
403,Dios mio cuánto abusó ten piedad señor Jesús del mundo en que vivimos 👏👏
404,No más Dios mío no más 💜
405,Vuela alto! En el paraíso con Dios. 🙏
406,Y de que manera y aque precio padre amado ❤️😍❤️
407,Este caso me duele en el alma 😢 yo tengo mi princesa de 29 años y la cuido como si fuera una niña demasiada maldad hay en este mundo
408,😢😢😢😢
409,Dios mío no es obligado estar con alguien 🙌 Dios le pueda dar paz a sus familiares 😢
410,😢😢😢Mis condolencias lo siento mucho
411,Es otro caso muy triste y lamentablemente que jóvenes con grandes sueños y esperanza de su familia pierdan la vida de una forma tan trágica y dolorosa
412,"Ahora ni a trabajar se puede...porque si no hay algún acosador? ....si denuncias lo toman como ""relajo"" que país es este"
413,Que pena caramba.😔
414,🤬🤬🤬🤬
415,😢😢😢
